comment,sadness,anger,confident,analytical
can someone please add more names to the list of non canon?,0.0,0.0,0.0,0.0
 canon disney princesses ,0.0,0.0,0.0,0.0
 kennys deaths and series canon ,0.0,0.809337,0.0,0.0
removed tachyon canon: requires separate article referencing etc.,0.0,0.0,0.0,0.931038
added first name to infobox and intro. its in an official bond-related book authorized by ifp which makes it canon,0.0,0.0,0.0,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
this paragraph is not about an edition of the bible and should be moved. perhaps better in the article [[biblical canon]].,0.0,0.0,0.0,0.0
removed non-canon chapters see [[talk:list of space marine chapters#the cull]] for details and reasons,0.0,0.0,0.0,0.506763
 catholicism  protestants had already rejected the deuterocanonicals of the o.t. before the council of trent. in fact trent reconfirmed the canon because of that rejection by the protestants,0.0,0.627409,0.0,0.0
 catholicism  protestants had already rejected the deuterocanonicals of the o.t. before the council of trent. in fact trent reconfirmed the canon because of that rejection by the protestants,0.0,0.0,0.0,0.83535
 canon law regarding freemasonry (1917-1983)  fixed spelling,0.0,0.0,0.0,0.838593
 canon law regarding freemasonry (1917-1983)  fixed spelling,0.0,0.0,0.751512,0.0
 suspension and reinstatement of fr andrey  canon law not canon of the mass,0.0,0.0,0.0,0.642915
 [[dragonball gt]] (sometimes considered non-canon) ,0.0,0.0,0.0,0.0
 [[dragonball gt]] (sometimes considered non-canon) ,0.0,0.0,0.0,0.882284
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
doesnt eu material generally count as canon?,0.0,0.0,0.0,0.801827
doesnt eu material generally count as canon?,0.0,0.0,0.0,0.0
changed biblical canon to scriptural canon: latter-day saints dont consider the other books in their canon to be part of the bible. they are each considered separate books.,0.0,0.0,0.0,0.774302
 canon disney princesses ,0.0,0.0,0.0,0.0
fixed category for indexing; added exposure modes; added link to canon s3,0.0,0.0,0.0,0.859009
reinstated canon subhead; reverted back to present tense as paramount has not made any official announcement changing the shows status. see talk page.,0.0,0.0,0.0,0.0
reinstated canon subhead; reverted back to present tense as paramount has not made any official announcement changing the shows status. see talk page.,0.0,0.0,0.0,0.799532
 mensuration and tempo canons  add prolation canon term and link,0.0,0.0,0.0,0.687768
added wiki link to biblical canon article.,0.0,0.0,0.0,0.838593
short back focus canon efs 35mm dslr,0.0,0.0,0.0,0.801827
 overview  link to canon,0.0,0.0,0.0,0.920855
composition of the canon,0.0,0.0,0.0,0.920855
 canon law  fixed a typo,0.0,0.0,0.849827,0.0
slightly reoganized based on: 1. pali canon; 2. post-canonical texts. (prior arrangement inexplicably left vimuttimagga out of pali sources section).,0.0,0.0,0.0,0.596122
slightly reoganized based on: 1. pali canon; 2. post-canonical texts. (prior arrangement inexplicably left vimuttimagga out of pali sources section).,0.0,0.0,0.0,0.0
 non-trinitarians  lets just stick to canon and the reference,0.0,0.0,0.0,0.0
 non-trinitarians  lets just stick to canon and the reference,0.0,0.0,0.0,0.724236
unconfirmed in canon.,0.0,0.0,0.0,0.0
 people in his life  the only thing the canon reveals about lestrades first name is that it begins with g,0.0,0.0,0.0,0.0
the term enhanced deterrence explorer was invented by a fan and has no basis in canon,0.0,0.0,0.0,0.87913
i do not see a bonus television special as filler. filler is not defined as not strictly canon. i rephrased the sentence reducing it to its core element.,0.0,0.0,0.0,0.0
i do not see a bonus television special as filler. filler is not defined as not strictly canon. i rephrased the sentence reducing it to its core element.,0.0,0.0,0.0,0.774302
added hatnote in case of confusion with [[canon]],0.0,0.0,0.0,0.895415
added hatnote in case of confusion with [[canon]],0.0,0.0,0.0,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
add reference to canon powershot g6 camera,0.0,0.0,0.0,0.801827
 see also  add [[canon law]],0.0,0.0,0.849827,0.0
 grand theft auto canon ,0.0,0.0,0.0,0.0
 differences between media  retitled section to match content. removed unsourced attempt to argue canon issues. reduced confusing verbosity.,0.0,0.0,0.0,0.883404
 differences between media  retitled section to match content. removed unsourced attempt to argue canon issues. reduced confusing verbosity.,0.0,0.0,0.0,0.0
 harry potter and the deathly hallows  bellatrix only used avada kedavra on sirius in the movie not the book so its not canon. (im not trying to be a jerk! :)),0.0,0.0,0.0,0.0
 unnecessary; any canon information about anakin solo is approved by george lucas ,0.0,0.0,0.0,0.620279
 unnecessary; any canon information about anakin solo is approved by george lucas ,0.0,0.0,0.0,0.0
 the concept of canon  wikifying,0.0,0.0,0.618451,0.0
rv. paramount considers yesteryear non-canon despite fontanas involvement. ste is also non-canon. elements were canonized by ent but not the spock storyline,0.0,0.0,0.0,0.829888
 powers and abilities  yeah but earth-811 is still an alternate reality. you said yourself its a possible future. other than alternate versions the article should have strictly canon info.,0.0,0.0,0.0,0.0
actually doax is not canon. she wins doa3 to beat genra she winning thew story makes sense.,0.0,0.0,0.0,0.0
actually doax is not canon. she wins doa3 to beat genra she winning thew story makes sense.,0.0,0.0,0.947749,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
 future and alternate versions  tense change. the jla/avengers crossover is considered to be canon by both companies so its not an alternate reality.,0.0,0.0,0.78945,0.0
 personality and ability  changed chuunin to genin because we havent seen anything from hinata in manga canon that justifies that statement,0.0,0.0,0.0,0.87232
rv: dont believe this to be true character doesnt look like max once zack is able to see her clearly (also clones clearly werent part of the first series canon.),0.0,0.542485,0.0,0.0
revert - you removed way too much good information this article provides also information that explains that gaiden can be non-canon not is non-canon.,0.0,0.0,0.0,0.803039
 self-contradictions and canon conflictions  - removed apparant fan speculation. official disney canon states that simba and nala only had done cub - kiara.,0.0,0.0,0.0,0.0
 self-contradictions and canon conflictions  - removed apparant fan speculation. official disney canon states that simba and nala only had done cub - kiara.,0.0,0.0,0.0,0.673826
 arsenal  - again they werent named on television and therefore not a part of canon.,0.0,0.0,0.0,0.821444
rv - rm kevin smith section (not notable - as he did not display new skills nor is it even canon) - the article would end up too long if all his matches were mentioned - also see [[wp:plot]],0.0,0.0,0.0,0.515576
 changes in canon law regarding freemasonry ,0.0,0.0,0.80026,0.0
 changes in canon law regarding freemasonry ,0.0,0.0,0.0,0.842108
 the titanic and doctor who  re-added lhh. were this list bloated i would support trimming non-canon material but honestly this is a pretty lean list.,0.0,0.0,0.0,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
